,tick,vx,vy
0,382,0.0,0.0
1,397,0.0,0.00025402631712676167
2,414,0.0,-2.5393603706547226e-05
3,431,0.0,-2.2868051812707772e-05
4,447,0.0,-2.0576467169775013e-05
5,464,0.0,-1.851881995484916e-05
6,481,0.0,-1.666693814250664e-05
7,498,0.0,-1.5000244261997864e-05
8,515,0.0,-1.3500219832707218e-05
9,532,0.0,-1.2150197917648598e-05
10,549,0.0,-1.0935177991910903e-05
11,566,0.0,-9.84166019364352e-06
12,583,0.0,-8.857494242064947e-06
13,600,0.0,-7.971744714296846e-06
14,617,0.0,-7.174570309587126e-06
15,634,0.0,-6.457113349256359e-06
16,651,0.0,-5.811401877053868e-06
17,668,0.0,-5.230261689703752e-06
18,685,0.0,-4.707235486733907e-06
19,702,0.0,-4.23651193877106e-06
20,719,0.0,-3.812860880358926e-06
21,735,0.0,-3.4315746557211926e-06
22,752,0.0,-3.0884172925738093e-06
23,769,0.0,-2.7795753940296207e-06
24,786,0.0,-2.5016178877734775e-06
25,803,0.0,-2.2514561347719565e-06
26,820,0.0,-2.02631048544788e-06
27,837,0.0,-1.823679267332068e-06
28,854,0.0,-1.6413114749980195e-06
29,871,0.0,-1.4771801936319663e-06
30,888,0.0,-1.3294621027171162e-06
31,905,0.0,-1.1965160314986177e-06
32,922,0.0,-1.0768644951753001e-06
33,939,0.0,-9.691780455511887e-07
34,956,0.0,-8.722602398592016e-07
35,973,0.0,-7.850343543225334e-07
36,990,0.0,-7.065307475073722e-07
37,1007,0.0,-6.358776751369533e-07
38,1024,0.0,-5.722900070281866e-07
39,1041,0.0,-5.150610768112075e-07
40,1058,0.0,-4.6355479703663606e-07
41,1075,0.0,-4.1719921384242287e-07
42,1092,0.0,-3.754793286958602e-07
43,1109,0.0,-3.379312953910584e-07
44,1126,0.0,-3.04137993722975e-07
45,1143,0.0,-2.737242610351131e-07
46,1160,0.0,-2.4635176565368505e-07
47,1178,0.0,-2.2171662479308906e-07
48,1194,0.0,-1.9954496082164045e-07
49,1211,0.0,-1.7959053373317598e-07
50,1228,0.0,-1.6163131100199737e-07
51,1245,0.0,-1.4546810938043107e-07
52,1262,0.0,-1.3092119672819534e-07
53,1279,0.0,-1.178289075198791e-07
54,1296,0.0,-1.0604595566121589e-07
55,1313,0.0,-9.544135330941118e-08
56,1330,0.0,-8.589711661954879e-08
57,1347,0.0,-7.730752038526137e-08
58,1364,0.0,-6.957669036466997e-08
59,1381,0.0,-6.261905944882072e-08
60,1398,0.0,-5.635717350571668e-08
61,1415,0.0,-5.0721493138894394e-08
62,1432,0.0,-4.564925006889098e-08
63,1449,0.0,-4.108414941583761e-08
64,1466,0.0,-3.69757415796812e-08
65,1483,0.0,-3.327830491173245e-08
66,1500,0.0,-2.995056860299883e-08
67,1517,0.0,-2.6955379084370176e-08
68,1534,0.0,-2.4259975006657443e-08
69,1551,0.0,-2.1834023655742388e-08
70,1568,0.0,-1.9650543592319994e-08
71,1585,0.0,-1.7685356468177818e-08
72,1602,0.0,-1.5916959128503547e-08
73,1619,0.0,-1.4325226160849525e-08
74,1636,0.0,-1.2892766676486645e-08
75,1653,0.0,-1.160356113416583e-08
76,1670,0.0,-1.0443278597449535e-08
77,1687,0.0,-9.398949529781932e-09
78,1704,0.0,-8.458983558057299e-09
79,1721,0.0,-7.613153840679842e-09
80,1738,0.0,-6.8519074858386375e-09
81,1755,0.0,-6.166705546206685e-09
