,tick,vx,vy
0,588,0.0,0.0
1,601,0.0,0.00025402631712676167
2,618,0.0,-2.5393603706547226e-05
3,635,0.0,-2.2868051812707772e-05
4,652,0.0,-2.0576467169775013e-05
5,669,0.0,-1.851881995484916e-05
6,686,0.0,-1.666693814250664e-05
7,703,0.0,-1.5000244261997864e-05
8,720,0.0,-1.3500219832707218e-05
9,737,0.0,-1.2150197917648598e-05
10,754,0.0,-1.0935177991910903e-05
11,771,0.0,-9.84166019364352e-06
12,788,0.0,-8.857494242064947e-06
13,805,0.0,-7.971744714296846e-06
14,822,0.0,-7.174570309587126e-06
15,839,0.0,-6.457113349256359e-06
16,856,0.0,-5.811401877053868e-06
17,873,0.0,-5.230261689703752e-06
18,890,0.0,-4.707235486733907e-06
19,907,0.0,-4.23651193877106e-06
20,924,0.0,-3.812860880358926e-06
21,940,0.0,-3.4315746557211926e-06
22,957,0.0,-3.0884172925738093e-06
23,974,0.0,-2.7795753940296207e-06
24,991,0.0,-2.5016178877734775e-06
25,1008,0.0,-2.2514561347719565e-06
26,1026,0.0,-2.02631048544788e-06
27,1043,0.0,-1.823679267332068e-06
28,1060,0.0,-1.6413114749980195e-06
29,1077,0.0,-1.4771801936319663e-06
30,1094,0.0,-1.3294621027171162e-06
31,1111,0.0,-1.1965160314986177e-06
32,1127,0.0,-1.0768644951753001e-06
33,1144,0.0,-9.691780455511887e-07
34,1161,0.0,-8.722602398592016e-07
35,1178,0.0,-7.850343543225334e-07
36,1195,0.0,-7.065307475073722e-07
37,1212,0.0,-6.358776751369533e-07
38,1229,0.0,-5.722900070281866e-07
39,1246,0.0,-5.150610768112075e-07
40,1263,0.0,-4.6355479703663606e-07
41,1280,0.0,-4.1719921384242287e-07
42,1297,0.0,-3.754793286958602e-07
43,1314,0.0,-3.379312953910584e-07
44,1331,0.0,-3.04137993722975e-07
45,1348,0.0,-2.737242610351131e-07
46,1365,0.0,-2.4635176565368505e-07
47,1382,0.0,-2.2171662479308906e-07
48,1399,0.0,-1.9954496082164045e-07
49,1416,0.0,-1.7959053657534696e-07
50,1433,0.0,-1.6163131064672597e-07
51,1450,0.0,-1.454681104462452e-07
52,1469,0.0,-1.3092119850455216e-07
53,1484,0.0,-1.178289092962359e-07
54,1500,0.0,-1.0604595068741675e-07
55,1517,0.0,-9.544135330941117e-08
56,1534,0.0,-8.589711626427743e-08
57,1551,0.0,-7.730750510859253e-08
58,1568,0.0,-6.957668681195628e-08
59,1585,0.0,-6.26190530539361e-08
60,1602,0.0,-5.63571820322295e-08
61,1619,0.0,-5.0721498112693546e-08
62,1636,0.0,-4.5649246160905925e-08
63,1653,0.0,-4.1084148350023495e-08
64,1670,0.0,-3.6975736605882053e-08
65,1687,0.0,-3.3278297095762356e-08
66,1704,0.0,-2.995056824772746e-08
67,1721,0.0,-2.6955378729098807e-08
68,1738,0.0,-2.4259975006657443e-08
69,1755,0.0,-2.1834012997601348e-08
70,1772,0.0,-1.9650544302862727e-08
71,1789,0.0,-1.7685353626006872e-08
72,1806,0.0,-1.5916954865247135e-08
73,1823,0.0,-1.432522545030679e-08
74,1840,0.0,-1.2892771295014427e-08
75,1857,0.0,-1.1603562555251301e-08
76,1874,0.0,-1.0443274689464491e-08
77,1891,0.0,-9.398947398153725e-09
78,1908,0.0,-8.458984623871402e-09
79,1925,0.0,-7.613154551222578e-09
80,1942,0.0,-6.8519074858386375e-09
81,1959,0.0,-6.166716914890458e-09
82,1976,0.0,-5.55007666491747e-09
83,1993,0.0,-4.99517156526963e-09
84,2010,0.0,-4.495518624025863e-09
85,2027,0.0,-4.046000867674594e-09
86,2044,0.0,-3.641503099061083e-09
87,2061,0.0,-3.277250471001025e-09
88,2078,0.0,-2.9494913178496063e-09
89,2095,0.0,-2.6544739739620127e-09
90,2112,0.0,-2.389128894719761e-09
91,2129,0.0,-2.1500454749912028e-09
92,2145,0.0,-1.935177351697348e-09
93,2162,0.0,-1.7417960407328788e-09
94,2179,0.0,-1.5675141185056418e-09
95,2196,0.0,-1.4106262824498115e-09
96,2213,0.0,-1.2694272299995644e-09
97,2230,0.0,-1.142552719102241e-09
98,2247,0.0,-1.0282974471920168e-09
99,2264,0.0,-9.256382327293977e-10
100,2281,0.0,-8.33210833661724e-10
101,2298,0.0,-7.499920684495009e-10
102,2315,0.0,-6.749587555532344e-10
103,2332,0.0,-6.074287739465943e-10
104,2349,0.0,-5.467200026032514e-10
105,2366,0.0,-4.921503204968757e-10
106,2383,0.0,-4.430376066011377e-10
107,2400,0.0,-3.986997398897074e-10
108,2417,0.0,-3.587871333365911e-10
109,2434,0.0,-3.2298537178121474e-10
110,2451,0.0,-2.9057716233182877e-10
111,2468,0.0,-2.615649918880082e-10
